zip,city,air,haz_cleanups,lead_paint,water
90806,Long Beach,12,5,77%,34.7%
90813,Long Beach,12,3,82%,34.7%
95134,San Jose,8,79,15%,34.8%
92660,Newport Beach,11,5,18%,34.8%
90504,Torrance,12,11,64%,35.1%
92655,Midway City,12,2,60%,35.2%
93117,Goleta and Isla Vista,8,6,31%,35.4%
92308,Apple Valley,7,1,32%,35.5%
95469,Unincorporated Mendocino County area,6,0,53%,35.5%
91935,Unincorporated San Diego County area,10,0,20%,35.6%
94931,Penngrove and Cotati,8,4,35%,35.7%
95010,Capitola,6,1,43%,35.8%
93591,"Palmdale,Lake Los Angeles",7,0,49%,35.9%
90805,Long Beach,12,4,81%,36.0%
92582,San Jacinto and Hemet,9,6,30%,36.0%
95476,Fetters Hot Springs-Agua Caliente and Boyes Hot Springs,8,0,39%,36.1%
91902,Bonita,10,0,26%,36.1%
92646,Huntington Beach,11,4,28%,36.2%
95975,Lake Wildwood,7,11,17%,36.2%
92371,Phelan,9,0,25%,36.2%
93422,Atascadero,6,0,40%,36.2%
92344,Oak Hills,10,0,10%,36.2%
95461,Unincorporated Lake County area,4,9,31%,36.2%
95448,Healdsburg,6,0,38%,36.3%
92651,Laguna Beach,10,2,37%,36.3%
95247,Unincorporated Calaveras County area,8,0,33%,36.4%
92648,Huntington Beach,11,9,24%,36.7%
90232,Culver City,12,11,51%,36.7%
92649,Huntington Beach,11,5,30%,36.7%
92591,Temecula,9,1,18%,36.8%
92592,Temecula,8,3,12%,36.8%
92886,Yorba Linda,12,3,26%,36.9%
93905,Salinas,5,3,67%,37.0%
95693,Unincorporated Sacramento County area,8,3,28%,37.0%
90746,Carson,12,36,49%,37.2%
92325,Crestline,9,4,51%,37.4%
93402,Los Osos,7,0,35%,37.4%
94129,San Francisco,9,113,55%,37.4%
95003,Aptos and Rio del Mar,6,0,33%,37.4%
95123,San Jose,8,0,35%,37.6%
95724,Unincorporated Placer County area,7,0,20%,37.7%
90807,Long Beach,12,5,63%,37.7%
95776,Woodland,9,4,39%,37.7%
92672,San Clemente,10,4,36%,37.9%
95608,Carmichael,9,4,47%,37.9%
94301,Palo Alto,8,11,47%,38.1%
92262,Palm Springs,6,0,29%,38.2%
96035,Proberta,7,0,39%,38.2%
92301,Adelanto,8,10,43%,38.3%
95943,Unincorporated Glenn County area,8,0,50%,38.3%
92647,Huntington Beach,11,10,42%,38.4%
90506,Alondra Park,12,4,75%,38.4%
92629,Dana Point,10,0,25%,38.5%
90260,Lawndale,12,1,69%,38.7%
90230,Los Angeles and Culver City,12,4,62%,38.7%
93944,Monterey,5,1,,38.7%
93950,Pacific Grove,6,2,53%,38.7%
93953,Del Monte Forest,5,3,36%,38.7%
92027,Escondido,8,0,44%,38.7%
96064,Unincorporated Siskiyou County area,3,0,35%,38.8%
95531,Bertsch-Oceanview and Crescent City,6,8,45%,38.8%
96094,Unincorporated Siskiyou County area,4,15,34%,38.8%
95713,Unincorporated Placer County area,7,15,32%,38.9%
94568,Dublin,9,3,16%,38.9%
93430,Cayucos,7,0,39%,39.0%
95002,San Jose,8,104,49%,39.0%
93930,King City,6,4,61%,39.1%
96097,Yreka,4,10,53%,39.2%
90249,Gardena,12,40,80%,39.3%
94305,Stanford,8,26,34%,39.3%
90703,Cerritos,12,5,27%,39.3%
92683,Westminster,12,5,57%,39.4%
94561,Oakley,9,10,31%,39.5%
90304,Lennox,12,6,89%,39.5%
95585,Unincorporated Mendocino County area,5,0,35%,39.6%
91301,Unincorporated Los Angeles County area,10,1,19%,39.6%
94022,Los Altos,8,12,33%,39.7%
96142,Unincorporated Placer County area,5,0,25%,39.7%
92067,Rancho Santa Fe,8,11,20%,39.7%
92075,Solana Beach,9,3,20%,39.7%
95815,Sacramento,9,9,73%,39.7%
90747,Carson,12,19,25%,39.8%
90732,Los Angeles,12,12,53%,39.9%
94952,Petaluma,8,5,48%,39.9%
96010,Unincorporated Trinity County area,4,0,35%,40.3%
91977,La Presa and Spring Valley,10,1,49%,40.4%
95963,Orland,7,3,55%,40.5%
95631,Unincorporated Placer County area,6,7,21%,40.8%
92530,Lake Elsinore,10,0,41%,40.8%
95948,Unincorporated Butte County area,9,0,58%,40.8%
93546,Mammoth Lakes,3,0,28%,41.0%
92127,Unincorporated San Diego County area,8,9,15%,41.0%
94089,Sunnyvale,8,41,49%,41.1%
94085,Sunnyvale,8,74,52%,41.1%
92282,Unincorporated Riverside County area,6,0,43%,41.2%
93023,Mira Monte and Meiners Oaks,9,3,46%,41.2%
92679,Coto de Caza,10,1,11%,41.3%
91901,Alpine,8,1,26%,41.4%
95148,San Jose,8,0,26%,41.4%
95202,Stockton,12,33,81%,41.6%
95203,Stockton,11,38,70%,41.6%
94086,Sunnyvale,8,11,40%,41.6%
95945,Grass Valley,6,74,48%,41.8%
95949,Alta Sierra,7,12,22%,41.8%
92025,Escondido,8,1,50%,41.9%
90255,Huntington Park,12,15,89%,42.1%
90731,Los Angeles,12,20,62%,42.1%
93455,Orcutt,8,3,34%,42.1%
91702,Azusa,12,4,69%,42.2%
94080,South San Francisco,9,15,60%,42.3%
94025,Menlo Park,8,14,59%,42.4%
90744,Los Angeles,12,16,82%,42.4%
93015,Unincorporated Ventura County area,8,3,59%,42.5%
92548,Unincorporated Riverside County area,10,0,45%,42.5%
90808,Long Beach,12,7,56%,42.6%
95464,Unincorporated Lake County area,5,12,33%,42.6%
92021,El Cajon,9,5,47%,42.7%
92567,Unincorporated Riverside County area,10,4,34%,42.7%
94588,Pleasanton,8,3,13%,42.9%
94027,Atherton,8,24,44%,43.0%
92310,Unincorporated San Bernardino County area,6,8,46%,43.1%
95937,Unincorporated Yolo County area,7,1,52%,43.2%
95228,Unincorporated Calaveras County area,9,20,19%,43.2%
92243,El Centro,9,6,42%,43.3%
94956,Unincorporated Marin County area,7,4,51%,43.3%
92887,Yorba Linda,12,0,20%,43.3%
93428,Cambria,7,8,29%,43.5%
92673,San Clemente,10,5,11%,43.6%
95837,Unincorporated Yolo and Sacramento County area,9,8,38%,43.6%
94065,Redwood City,8,2,11%,43.6%
95389,Unincorporated Mariposa County area,6,10,35%,43.7%
93940,Monterey,6,9,42%,43.7%
92780,Tustin,12,6,53%,43.8%
90501,Torrance,12,38,57%,43.8%
92401,San Bernardino,11,43,78%,44.1%
92405,San Bernardino,11,18,91%,44.1%
90056,Culver City,12,12,42%,44.1%
93433,Grover Beach,8,0,54%,44.1%
95830,Vineyard,8,0,4%,44.1%
94928,Rohnert Park,8,0,33%,44.2%
95624,Elk Grove,9,1,21%,44.4%
93442,Morro Bay,7,7,43%,44.8%
92587,Menifee and Canyon Lake,10,0,21%,44.8%
94566,Pleasanton,8,2,21%,44.8%
90242,Downey,12,5,70%,44.9%
93060,Santa Paula,9,3,62%,44.9%
92399,Yucaipa,10,2,47%,45.0%
94306,Palo Alto,8,16,47%,45.0%
91942,La Mesa,10,4,52%,45.1%
92234,"Cathedral City,",7,1,30%,45.2%
92210,Indian Wells,7,0,10%,45.4%
93022,Oak View,9,2,46%,45.4%
95020,Gilroy,6,7,42%,45.5%
90640,Montebello,12,9,67%,45.7%
91945,Lemon Grove,10,0,62%,45.7%
92020,El Cajon,10,11,55%,45.8%
92211,Palm Desert,7,0,7%,45.8%
95758,Elk Grove,9,0,22%,45.9%
95542,Unincorporated Humboldt County area,5,0,34%,45.9%
94303,Palo Alto,8,10,68%,46.0%
92270,Rancho Mirage,7,3,12%,46.0%
94063,Redwood City,8,54,70%,46.0%
93105,Santa Barbara,7,1,48%,46.0%
